JUNGLESCOUT KEYWORD SCOUT CSV EXPORT
Report Generated at: 2023-06-19 18:47:44 UTC
"Search Term(s): '[""splash filter sink faucet aerator""]'"
Keyword,30-Day Search Volume (Exact),30 Day Trend,90 Day Trend,30-Day Search Volume (Broad),Category,Recommended Promotions,PPC Bid (Exact),PPC Bid (Broad),Ease to Rank,Relevancy Score,Organic Product Count,Sponsored Product Count
universal faucet extender,1908,40%,5%,2358,Tools & Home Improvement,12,---,---,Easy,45,1000,37
universal faucet aerator,450,104%,219%,900,Tools & Home Improvement,12,$0.47,$0.54,Easy,58,1000,36
universal faucet adapter,1289,92%,124%,2189,Tools & Home Improvement,7,$1.01,$1.01,Easy,19,8000,36
universal faucet,1019,60%,119%,11965,Tools & Home Improvement,9,$1.31,$1.07,Easy,46,6000,36
universal aerator for sink faucet,450,104%,193%,540,Tools & Home Improvement,14,---,---,Easy,68,1000,42
universal 1080° swivel robotic arm swivel extension faucet aerator,450,-85%,651%,540,Tools & Home Improvement,0,---,---,Easy,47,472,39
universal 1080 rotation faucet,450,104%,118%,540,Tools & Home Improvement,0,---,---,Easy,59,952,36
unecrin faucet attachment,450,17%,19%,540,Tools & Home Improvement,19,---,---,Easy,18,86,4
unecrin faucet aerator,450,17%,19%,540,Tools & Home Improvement,14,---,---,Easy,13,64,4
twist and turn faucet attachment,450,7%,13%,540,Tools & Home Improvement,15,---,---,Easy,31,141,5
tub faucet filter,450,356%,278%,900,Tools & Home Improvement,11,$0.99,$1.14,Easy,12,1000,39
tub faucet extender attachment,450,17%,19%,540,Tools & Home Improvement,22,---,---,Easy,20,2000,6
tub faucet extender,793,13%,186%,2960,Baby,14,$0.63,$0.75,Moderate,19,8000,36
tom thumb aerator,927,32%,149%,1112,Tools & Home Improvement,3,$0.75,$0.58,Easy,12,164,12
toddler water extender,450,17%,19%,1350,Baby,7,---,---,Easy,19,10000,4
threaded faucet,450,17%,593%,540,Tools & Home Improvement,4,$1.21,$0.91,Easy,15,40000,50
tapp water filter faucet,450,17%,120%,540,Tools & Home Improvement,23,---,---,Easy,11,5000,0
tap purifier,450,65%,235%,2463,Tools & Home Improvement,92,$0.70,$1.11,Easy,12,6000,36
tap head,450,17%,72%,2250,Tools & Home Improvement,4,$0.50,$0.61,Difficult,26,10000,24
tap filter for kitchen faucet,1307,85%,29%,1757,Tools & Home Improvement,60,---,---,Easy,11,4000,42
tap filter for kitchen,450,17%,157%,2657,Tools & Home Improvement,58,$1.26,$1.38,Easy,16,5000,36
tap filter for bathroom,684,173%,216%,821,Tools & Home Improvement,56,$1.37,$1.37,Easy,23,4000,36
tap extension for sink,450,104%,219%,540,Tools & Home Improvement,4,---,---,Easy,40,4000,36
tap extension,450,104%,307%,8283,Tools & Home Improvement,6,$1.27,$0.83,Moderate,29,5000,36
tap extender for sink,450,104%,219%,540,Tools & Home Improvement,13,---,---,Easy,28,10000,36
tap extender,450,104%,511%,3150,Baby,15,$0.60,$0.81,Easy,21,20000,36
tap aerator,450,104%,219%,600,Tools & Home Improvement,3,$0.98,$1.04,Moderate,34,50000,54
tap adapter,450,17%,486%,7354,Tools & Home Improvement,9,$0.88,$0.78,Moderate,19,1000,36
swivel water faucet attachment,450,498%,173%,540,Tools & Home Improvement,12,---,---,Easy,43,3000,36
swivel sprayer for kitchen faucet,450,104%,219%,540,Tools & Home Improvement,26,$1.88,$1.51,Easy,11,30000,48
swivel spray aerator,450,17%,93%,540,Tools & Home Improvement,0,$0.43,$0.58,Easy,15,10000,6
swivel spout faucet,450,104%,219%,1350,Tools & Home Improvement,3,$1.79,$1.16,Easy,14,50000,50
swivel splash faucet,450,104%,219%,900,Tools & Home Improvement,14,---,---,Easy,76,10000,36
swivel sink faucet extender,450,65%,260%,540,Tools & Home Improvement,0,---,---,Easy,43,1000,6
swivel sink faucet aerator,450,104%,459%,3600,Tools & Home Improvement,13,---,---,Easy,56,2000,48
swivel sink faucet,918,-25%,58%,6318,Tools & Home Improvement,10,$4.16,$1.31,Easy,47,2000,24
swivel sink attachment,450,104%,219%,540,Tools & Home Improvement,11,---,---,Easy,39,1000,50
swivel pro sink,450,104%,205%,1350,Tools & Home Improvement,2,---,---,Easy,18,491,39
swivel pro for sink,450,104%,219%,1350,Tools & Home Improvement,8,---,---,Easy,24,476,40
swivel pro for faucet,450,104%,219%,2700,Tools & Home Improvement,12,---,---,Easy,22,407,38
swivel pro faucet sink,450,7%,13%,540,Tools & Home Improvement,12,---,---,Easy,23,404,4
swivel pro faucet attachment,450,104%,219%,540,Tools & Home Improvement,11,---,---,Easy,38,136,36
swivel pro faucet adapter,450,104%,219%,540,Tools & Home Improvement,20,---,---,Easy,28,174,36
swivel pro faucet,450,104%,97%,2700,Tools & Home Improvement,13,---,---,Easy,33,436,36
swivel pro,450,104%,139%,9686,Tools & Home Improvement,9,$2.00,$0.78,Easy,31,123,26
swivel kitchen sink faucet aerator,450,17%,19%,1350,Tools & Home Improvement,14,$1.52,$1.18,Easy,38,10000,36
swivel kitchen faucet aerator,450,17%,593%,2250,Tools & Home Improvement,12,$1.04,$0.61,Easy,34,10000,42
swivel kitchen faucet,450,104%,219%,4050,Tools & Home Improvement,9,$1.82,$1.46,Moderate,30,40000,38
swivel head for faucet,450,104%,219%,540,Tools & Home Improvement,0,---,---,Easy,33,887,6
swivel faucet sprayer,450,104%,-40%,900,Tools & Home Improvement,9,$2.57,$1.32,Easy,24,30000,36
swivel faucet sink aerator,450,17%,19%,540,Tools & Home Improvement,13,---,---,Easy,47,1000,6
swivel faucet head for bathroom sink,450,17%,405%,540,Tools & Home Improvement,7,---,---,Easy,43,4000,6
swivel faucet head,450,104%,511%,900,Tools & Home Improvement,13,$1.28,$1.08,Easy,42,4000,38
swivel faucet for bathroom sink,450,104%,219%,2745,Tools & Home Improvement,19,---,---,Easy,33,80000,38
swivel faucet attachment for bathroom sink,450,17%,157%,540,Tools & Home Improvement,10,---,---,Easy,38,2000,6
swivel faucet attachment,1273,-97%,118%,2623,Tools & Home Improvement,13,---,---,Moderate,50,3000,36
swivel faucet aerator,2409,168%,86%,50061,Tools & Home Improvement,12,$0.87,$1.36,Moderate,52,10000,36
swivel faucet adapter,450,104%,219%,900,Tools & Home Improvement,17,---,---,Easy,26,5000,61
swivel faucet,3273,37%,484%,59498,Tools & Home Improvement,15,$1.27,$1.27,Difficult,36,40000,42
swivel extension faucet aerator,3878,216%,93%,4654,Tools & Home Improvement,4,---,---,Moderate,41,923,6
swivel extension,902,170%,153%,4952,Tools & Home Improvement,6,$0.71,$0.82,Moderate,22,10000,36
swivel bathroom sink faucet,450,104%,219%,1350,Tools & Home Improvement,19,$0.96,$1.31,Easy,35,50000,24
swivel bathroom faucet,793,48%,155%,3493,Tools & Home Improvement,10,---,---,Easy,17,50000,49
swivel aerator for kitchen faucet,450,104%,511%,900,Tools & Home Improvement,12,$1.75,$1.36,Easy,37,2000,38
swivel aerator for bathroom sink,450,104%,219%,540,Tools & Home Improvement,13,---,---,Easy,52,1000,36
swivel aerator,450,104%,219%,52911,Tools & Home Improvement,9,$0.62,$1.24,Easy,38,2000,37
super water saving 360 rotate kitchen tap,450,17%,593%,600,Tools & Home Improvement,5,---,---,Easy,19,118,0
strainer for faucet,450,17%,19%,7650,Tools & Home Improvement,13,$0.65,$1.07,Easy,14,1000,6
sprayer sink attachment,450,104%,-6%,1350,Tools & Home Improvement,15,$1.28,$1.26,Easy,14,10000,36
sprayer for faucet attachment,450,17%,19%,1800,Tools & Home Improvement,13,---,---,Easy,19,10000,36
sprayer faucet attachment,450,17%,593%,1800,Tools & Home Improvement,7,---,---,Easy,16,10000,44
sprayer attachment for kitchen sink,816,74%,133%,2746,Tools & Home Improvement,17,---,---,Easy,11,6000,36
spray nozzle for kitchen faucet,2295,53%,417%,2754,Tools & Home Improvement,19,---,---,Easy,11,10000,42
spray faucet attachment,450,104%,219%,540,Tools & Home Improvement,12,$0.94,$0.97,Easy,17,10000,62
spray extender,450,17%,93%,5412,Tools & Home Improvement,3,$0.41,$1.15,Easy,24,50000,38
spray attachment for faucet,450,104%,219%,3439,Tools & Home Improvement,7,$0.96,$0.98,Easy,19,10000,36
spray adapter for kitchen faucet,450,17%,29%,540,Tools & Home Improvement,10,---,---,Easy,16,4000,6
splash-proof faucet,450,7%,409%,540,Tools & Home Improvement,0,---,---,Easy,36,6000,42
splash proof faucet,450,104%,219%,1800,Tools & Home Improvement,1,$0.71,$1.34,Easy,29,6000,36
splash filter faucet for bathroom sink,450,17%,405%,540,Tools & Home Improvement,14,---,---,Easy,72,3000,51
splash filter faucet attachment,450,17%,72%,540,Tools & Home Improvement,4,---,---,Moderate,84,1000,36
splash filter faucet 720 rotate,450,17%,486%,540,Tools & Home Improvement,1,---,---,Easy,45,501,42
splash filter faucet,450,104%,348%,8100,Tools & Home Improvement,4,---,---,Difficult,76,4000,36
splash filter 1080 degree rotation faucet,450,104%,511%,540,Tools & Home Improvement,7,---,---,Easy,72,249,36
splash filter,450,17%,72%,9000,Tools & Home Improvement,5,---,---,Very Difficult,92,10000,48
splash faucet filter,450,17%,72%,900,Tools & Home Improvement,4,---,---,Easy,94,7000,38
splash faucet attachment,450,17%,72%,1350,Tools & Home Improvement,5,---,---,Easy,63,2000,36
splash faucet aerator,450,17%,72%,540,Tools & Home Improvement,5,---,---,Moderate,93,4000,38
splash faucet,450,104%,219%,25077,Tools & Home Improvement,0,---,---,Moderate,24,30000,37
smartsaker faucet attachment,450,17%,19%,540,Tools & Home Improvement,10,---,---,Easy,25,76,17
smart saker faucet extender,450,17%,19%,540,Tools & Home Improvement,4,---,---,Easy,21,65,0
smart saker faucet,450,17%,19%,900,Tools & Home Improvement,3,---,---,Easy,12,51,26
smart faucet adapter,450,17%,486%,900,Tools & Home Improvement,5,$2.27,$1.12,Easy,11,238,36
small aerator,450,194%,273%,2249,Tools & Home Improvement,29,---,---,Easy,12,100000,36
slash filter faucet,450,17%,72%,540,Tools & Home Improvement,3,---,---,Easy,81,4000,38
skincare sink filter,450,104%,63%,540,Tools & Home Improvement,56,---,---,Easy,15,192,4
siroflex swivel faucet sprayer,450,104%,219%,540,Tools & Home Improvement,3,$0.76,$0.76,Easy,20,84,30
sink water sprayer,450,104%,219%,540,Tools & Home Improvement,10,$1.38,$1.57,Easy,16,50000,36
sink water purifier,1238,228%,159%,3341,Tools & Home Improvement,55,$2.21,$2.24,Easy,12,10000,36
sink water fountain attachment kids,450,104%,219%,540,Tools & Home Improvement,4,$0.80,$0.80,Easy,20,111,28
sink water fountain attachment,450,104%,217%,900,Tools & Home Improvement,3,$0.57,$0.69,Easy,21,335,36
sink water filter faucet attachment,450,104%,219%,900,Tools & Home Improvement,47,---,---,Easy,33,4000,37
sink water filter faucet,1903,-85%,29%,5808,Tools & Home Improvement,59,$1.26,$1.55,Easy,12,100000,36
sink water filter attachment,450,88%,155%,1350,Tools & Home Improvement,61,---,---,Easy,26,2000,48
sink water faucet,450,206%,306%,28797,Tools & Home Improvement,49,$1.49,$1.93,Easy,22,10000,24
sink thread adapter,450,17%,646%,540,Tools & Home Improvement,3,---,---,Easy,11,1000,36
sink tap filter,450,17%,282%,540,Tools & Home Improvement,55,---,---,Easy,23,5000,36
sink tap extension,450,104%,219%,540,Tools & Home Improvement,7,---,---,Easy,42,4000,36
sink tap extender,450,17%,120%,540,Tools & Home Improvement,6,---,---,Easy,30,2000,0
sink swivel pro,450,104%,217%,540,Tools & Home Improvement,4,---,---,Easy,26,490,37
sink swivel nozzle,450,-4%,448%,900,Tools & Home Improvement,12,---,---,Easy,30,426,24
sink swivel attachment for faucet,944,-13%,218%,1133,Tools & Home Improvement,12,---,---,Easy,31,1000,37
sink sprayer attachment for faucet,8932,-29%,125%,11058,Tools & Home Improvement,23,---,---,Easy,11,10000,38
sink sprayer adapter,450,104%,219%,900,Tools & Home Improvement,11,$1.05,$1.06,Easy,11,6000,24
sink spray attachment,450,104%,219%,900,Tools & Home Improvement,18,$1.25,$1.27,Easy,13,7000,36
sink spout replacement,450,104%,116%,540,Tools & Home Improvement,6,$0.81,$0.83,Easy,12,9000,38
sink spout extender for kids,530,27%,130%,636,Baby,13,$0.83,$0.81,Easy,12,579,45
sink spout extender,450,104%,511%,1430,Tools & Home Improvement,19,$0.95,$0.77,Easy,28,5000,39
sink spout attachment,450,104%,219%,540,Tools & Home Improvement,9,$0.89,$0.89,Easy,18,694,26
sink purifier faucet,450,17%,486%,1713,Tools & Home Improvement,24,$1.51,$1.43,Easy,15,5000,36
sink nozzle replacement,450,104%,219%,1316,Tools & Home Improvement,15,$0.73,$0.99,Easy,14,2000,38
sink nozzle attachment for faucet,1694,97%,255%,2033,Tools & Home Improvement,20,---,---,Easy,18,2000,44
sink nozzle,738,233%,72%,11081,Tools & Home Improvement,13,$0.80,$1.05,Easy,19,10000,36
sink head attachment,450,104%,219%,2606,Tools & Home Improvement,12,---,---,Easy,13,3000,50
sink fountain attachment,450,104%,502%,1800,Tools & Home Improvement,2,$0.67,$0.38,Easy,30,372,40
sink filter water faucet attachment,450,104%,219%,540,Tools & Home Improvement,46,---,---,Easy,45,4000,36
sink filter water faucet,14040,-44%,80%,18920,Tools & Home Improvement,62,$0.80,$1.62,Easy,22,100000,50
sink filter faucet,450,104%,219%,27481,Tools & Home Improvement,56,$1.24,$1.59,Easy,29,50000,36
sink filter attachment,450,104%,219%,2700,Tools & Home Improvement,58,---,---,Easy,40,2000,36
sink filter,13701,-40%,140%,136283,Tools & Home Improvement,62,$1.14,$1.96,Easy,12,30000,36
sink faucet water filter,812,230%,194%,974,Tools & Home Improvement,53,$1.77,$1.72,Easy,15,10000,36
sink faucet swivel head,450,104%,219%,540,Tools & Home Improvement,9,$1.16,$1.21,Easy,27,4000,36
sink faucet swivel,450,104%,219%,1800,Tools & Home Improvement,17,$0.67,$1.23,Easy,53,100000,36
sink faucet sprayer attachment,4430,131%,41%,5780,Tools & Home Improvement,21,$1.18,$1.33,Moderate,14,10000,36
sink faucet sprayer,850,41%,113%,31747,Tools & Home Improvement,29,$2.75,$2.12,Moderate,14,80000,24
sink faucet screen,450,104%,219%,540,Tools & Home Improvement,4,$0.92,$0.92,Easy,14,877,38
sink faucet parts,450,104%,219%,6848,Tools & Home Improvement,13,$1.00,$1.08,Easy,15,30000,37
sink faucet head,5454,93%,423%,15220,Tools & Home Improvement,16,$1.08,$1.26,Easy,18,10000,42
sink faucet gadget,450,17%,486%,540,Tools & Home Improvement,10,---,---,Easy,21,659,36
sink faucet filter attachment,450,104%,493%,540,Tools & Home Improvement,20,$0.97,$1.36,Easy,68,2000,60
sink faucet filter,3930,52%,96%,9584,Tools & Home Improvement,56,$1.27,$1.47,Easy,32,50000,36
sink faucet extension,450,104%,511%,1350,Tools & Home Improvement,20,$1.20,$0.94,Easy,38,20000,38
sink faucet extender for toddlers,636,19%,125%,763,Baby,10,---,---,Easy,15,663,38
sink faucet extender,5828,59%,128%,10334,Tools & Home Improvement,23,$1.74,$1.11,Easy,41,20000,38
sink faucet attachment sprayer,450,104%,219%,540,Tools & Home Improvement,20,---,---,Easy,16,4000,40
sink faucet attachment,1396,120%,158%,16300,Tools & Home Improvement,13,$1.07,$1.28,Easy,20,7000,42
sink faucet aerator tool,450,17%,19%,540,Tools & Home Improvement,11,---,---,Easy,21,2000,6
sink faucet aerator,1266,77%,130%,7370,Tools & Home Improvement,18,$1.31,$1.12,Easy,33,6000,25
sink faucet adapter,1672,104%,271%,25763,Tools & Home Improvement,7,$0.92,$1.06,Moderate,17,30000,40
sink face wash attachment,450,104%,357%,540,Tools & Home Improvement,3,---,---,Moderate,44,129,36
sink extension for faucet,450,104%,341%,540,Tools & Home Improvement,0,$0.95,$0.45,Easy,21,9000,18
sink extension,450,104%,373%,9727,Tools & Home Improvement,15,$1.23,$1.40,Easy,24,20000,36
sink extenders,450,104%,219%,540,Tools & Home Improvement,8,$0.89,$0.91,Easy,47,20000,36
sink extender for faucet for washing hair,450,104%,219%,540,Tools & Home Improvement,4,---,---,Easy,23,684,37
sink extender for faucet,2095,257%,-7%,3899,Tools & Home Improvement,21,$0.90,$1.12,Easy,43,20000,36
sink extender,1994,-13%,27%,29053,Baby,21,$0.88,$0.92,Moderate,33,20000,42
sink drinking fountain attachment,450,104%,511%,540,Tools & Home Improvement,4,$0.68,$0.68,Easy,13,203,42
sink attachment water filter,450,104%,219%,540,Tools & Home Improvement,59,$1.57,$1.34,Easy,18,3000,42
sink attachment sprayer,450,104%,219%,1800,Tools & Home Improvement,17,$1.00,$1.05,Easy,11,10000,42
sink attachment for washing face,450,104%,585%,900,Tools & Home Improvement,5,---,---,Easy,41,664,36
sink attachment for faucet,2854,26%,123%,35070,Tools & Home Improvement,14,---,---,Easy,16,10000,48
sink attachment,627,20%,246%,57675,Tools & Home Improvement,1,$0.83,$1.14,Easy,21,10000,36
sink aireator,450,17%,120%,600,Tools & Home Improvement,15,$0.79,$0.79,Easy,44,6000,36
sink airarator replacement,450,17%,120%,540,Tools & Home Improvement,17,---,---,Easy,25,2000,6
sink airarator,450,104%,219%,900,Tools & Home Improvement,17,---,---,Easy,45,6000,36
sink aerator tool,450,104%,219%,1589,Tools & Home Improvement,9,---,---,Easy,25,4000,36
sink aerator swivel,450,104%,511%,900,Tools & Home Improvement,14,$0.71,$0.68,Easy,44,2000,48
sink aerator replacement,2065,174%,202%,4648,Tools & Home Improvement,19,---,---,Easy,19,2000,36
sink aerator removal tool,689,88%,128%,827,Tools & Home Improvement,12,---,---,Easy,12,1000,52
sink aerator female,450,104%,219%,600,Tools & Home Improvement,6,---,---,Easy,16,1000,37
sink aerator,4203,54%,138%,18513,Tools & Home Improvement,17,$0.97,$0.97,Somewhat Difficult,34,6000,36
sink adjustable nozzle,450,104%,219%,540,Tools & Home Improvement,9,---,---,Easy,11,2000,37
sink adapter for faucet,1991,49%,171%,2441,Tools & Home Improvement,9,---,---,Easy,16,20000,36
silicone faucet extender for bathroom sink,450,104%,219%,540,Baby,4,---,---,Easy,18,1000,6
silicon faucet extender,450,104%,-45%,540,Baby,12,---,---,Easy,14,2000,41
shower head sink faucet attachment,450,104%,405%,540,Tools & Home Improvement,10,---,---,Easy,13,3000,36
shower attachment for sink faucet,450,368%,180%,900,Tools & Home Improvement,19,---,---,Easy,11,10000,44
shower aerator,450,104%,219%,900,Tools & Home Improvement,13,$1.45,$0.71,Easy,12,2000,40
shark faucet extender,450,17%,19%,540,Tools & Home Improvement,39,$0.76,$0.52,Easy,16,178,6
saker water faucet,450,17%,19%,540,Tools & Home Improvement,8,---,---,Easy,11,72,24
saker rotatable multifunctional extension faucet,450,104%,219%,540,Tools & Home Improvement,4,---,---,Easy,24,97,32
saker faucet head,450,17%,19%,540,Tools & Home Improvement,12,---,---,Easy,11,87,4
saker faucet extension,450,17%,19%,540,Tools & Home Improvement,11,---,---,Easy,14,51,4
